gridcode;year;nitrate;rainfall;oxygen;area;emission;stockage;grass;vegetableG1;vegetableG2;vegetableG3;catchcrop;norm_N;deposition
22400;2012;7.7;88.91491667;49.7;0.946929274;0.002494231;0.000162077;0.121477576;0;0;0.019593689;no;0.023979005;0.002963848
22400;2013;12.6;0.05;47.4;0.94214104;0.002546258;0.000155343;0.124005892;0;0;0.076034429;no;0.025489403;0.00260669
23050;2008;1.4;107.2743056;0;0.905582441;0.004819548;-0.00185457;0.423390282;0;0;0;yes;0.026387117;0.004452565
23050;2009;0.46;108.553;0;0.903621528;0.004744819;-0.002386297;0.402543419;0;0;0;no;0.025883076;0.003955367
23050;2011;3.7;175.0377778;0;0.8891872;0.004682013;-0.001198221;0.399598789;0;0.047195171;0;no;0.024294442;0.004137223
23050;2012;1.3;95.29583333;0;0.884275361;0.004566855;0.001738618;0.426470402;0;0.024566827;0.006027154;yes;0.024582982;0.00402292
23050;2013;1.92;59.6701342;0;0.880313418;0.004217012;-0.00092992;0.416471754;0;0.006726907;0.028279869;yes;0.022805933;0.003566032
23070;2008;1.3;39.59957143;0;0.838069047;0.003403249;-0.001465367;0.622423547;0;0;0;yes;0.027678558;0.004199493
23070;2009;0.49;108.553;0;0.843059356;0.003340702;0.000377454;0.582609082;0;0;0;no;0.027603735;0.00370757
23070;2011;3.4;175.0377778;0;0.826620387;0.003502921;0.000460282;0.593201505;0;0.002433693;0;no;0.026434596;0.003994874
23070;2012;1.89;99.30033333;41.9;0.830568833;0.002860353;0.001219819;0.636139175;0;0;0;yes;0.026719224;0.003871074
23070;2013;2.9;0.05;29.2;0.832607629;0.003635283;0.000912048;0.599491894;0;0;1.56E-06;no;0.026479812;0.003372056
24050;2008;7.7;101.9293056;53.7;0.711728283;0.005721933;-0.001060204;0.381434121;0;0;0;yes;0.025416081;0.005415248
24050;2009;8.7;56.76341558;62;0.705938499;0.006015586;0.000126425;0.371153659;0;0;0;yes;0.026449513;0.004870088
24050;2010;6.5;102.1611905;61.6;0.704658641;0.005511825;-0.00072109;0.385661369;0;0;0;yes;0.026226868;0.004444533
24050;2011;6;175.0377778;0;0.701909835;0.005885367;-0.000471937;0.374612474;0;0.005277357;0;yes;0.024598229;0.005058817
24050;2012;6;39.86733333;0;0.69356366;0.00605949;0.000203752;0.359832337;0.000329593;0.022920635;0;yes;0.02486229;0.004956146
24050;2013;7.2;65.32678571;88.9;0.689162227;0.005993711;0.000318597;0.354698184;0.001266879;0.019218414;0.011396486;yes;0.0244841;0.004413933
25100;2008;3.9;134.88125;0;0.854780878;0.003916722;-0.000274087;0.487318969;0;0;0;yes;0.029662458;0.004232459
25100;2009;0.47;101.9716364;0;0.890048121;0.004125976;-0.000738627;0.497881929;0;0;0;yes;0.026224247;0.003616794
25100;2010;0.45;196.9782895;0;0.845586864;0.004532842;-0.00041436;0.529643583;0;0;0;yes;0.027739254;0.003482059
25100;2011;2.6;181.1325893;0;0.885706688;0.003919685;-0.000837347;0.508370495;0;0;0.005069655;yes;0.028110321;0.00362393
25100;2012;3.2;142.3970833;0;0.887426809;0.003892576;-0.001053071;0.467144896;0;0.021353678;0.009168681;yes;0.028423701;0.003579151
25100;2013;1.48;100.7469872;0;0.866763282;0.003736237;-0.000735369;0.492484721;0;0;0;yes;0.027128206;0.003202939
26420;2008;9.7;87.16316667;59.4;0.935376508;0.00222501;0.001185946;0.359624519;0;0;0;yes;0.02722691;0.002947515
26420;2009;5.7;175.4568333;56.6;0.935408939;0.002186167;-5.51E-05;0.330469016;0;0;0;yes;0.027373915;0.002645411
26420;2010;4.1;150.2360395;26.7;0.93726539;0.001603115;0.000788951;0.338483004;0;0;0;yes;0.027563947;0.002408323
26420;2011;7.1;67.19192325;77.4;0.91072268;0.001311703;-0.000402915;0.339359499;0;0;0.22276959;yes;0.026061891;0.002562025
26420;2012;7.2;144.3890278;63.5;0.908896301;0.001250145;8.31E-05;0.318553669;0;0;0;yes;0.025672981;0.002543265
26420;2013;4.2;103.0217857;87.7;0.906729989;0.001201306;-0.000547524;0.269159806;0;0;0;no;0.023304553;0.00224378
26700;2008;7.6;87.16316667;60.6;0.528771199;0.0018101;7.95E-05;0.381069339;0;0;0;no;0.015821865;0.004672586
26700;2009;6.2;175.4568333;51.6;0.562203828;0.001503983;0.000351713;0.417125568;0;0;0;no;0.016755282;0.003878456
26700;2010;4.3;150.2360395;57;0.549268113;0.000815063;-0.000595959;0.404118135;0;0;0;no;0.018664287;0.003720802
26700;2011;4.6;181.1325893;0;0.550363464;0.000744026;-9.32E-05;0.406496842;0;0;0.019374135;no;0.017845324;0.003982806
26700;2012;6.6;142.3970833;0;0.560780164;0.000674063;0.000101543;0.410694259;0;0;0.014880791;no;0.016212505;0.003900831
26700;2013;1.95;56.66746753;0;0.561317155;0.001000776;-0.001783565;0.403842418;0;0;0.011870354;no;0.013081531;0.003416922
26710;2008;7.3;107.2743056;0;0.434407319;0.002179739;-0.000100825;0.501656072;0;0;0;no;0.014373113;0.005177733
26710;2009;2.9;108.553;0;0.475302975;0.001714934;0.000447523;0.54452372;0;0;0;no;0.014754155;0.004165264
26710;2010;2.6;219.2618333;0;0.459669037;0.000774851;3.10E-07;0.529974563;0;0;0;no;0.018162444;0.004077653
26710;2011;4;174.5744444;0;0.461077784;0.000602787;-0.000415662;0.533011475;0;0;0.003435594;no;0.017769337;0.004311774
26710;2012;6.3;94.93583333;0;0.476471576;0.000585228;4.77E-05;0.531298958;0;0;0.015982949;no;0.016359112;0.004168737
26710;2013;6.6;188.7242698;66.7;0.476058802;0.000819238;-0.001284816;0.52255466;0;0;0.011651726;no;0.010300161;0.003666999
26720;2008;3;107.2743056;0;0.898471069;0.001072375;-1.93E-05;0.139304746;0;0;0;no;0.017455734;0.00389622
26720;2009;1;108.553;0;0.896436613;0.00098826;0.000440455;0.137647871;0;0;0;no;0.013807049;0.003476808
26720;2010;0.71;219.2618333;0;0.893753716;0.001085098;-5.50E-05;0.137458721;0;0;0;no;0.016234346;0.003169149
26720;2011;1.05;174.5744444;0;0.884735602;0.001108274;-3.05E-05;0.12977494;0;0;0;no;0.015192138;0.003516826
26720;2012;1.11;94.93583333;0;0.883896049;0.002056122;0.0002328;0.129845425;0;0;0;no;0.013973777;0.00348733
27000;2008;4.5;134.88125;0;0.879555802;0.00267894;-0.00046143;0.383001798;0;0;0;no;0.024336353;0.003647437
27000;2009;4.1;175.4568333;37.9;0.873040691;0.003030897;-3.54E-05;0.359336596;0;0;0;no;0.023730991;0.003277125
27000;2010;1.7;196.9782895;0;0.868551431;0.002404238;0.000207957;0.354530439;0;0;0;no;0.023180158;0.003018308
27000;2011;2.9;67.19192325;83.7;0.867379903;0.001962444;0.000187202;0.349405698;0;0.008649774;0.01303107;no;0.021701565;0.003257817
27000;2012;4.8;90.70644444;74.9;0.850157278;0.001983028;-8.31E-05;0.386115396;0;0;0.001608311;no;0.022783754;0.003294834
27000;2013;1.82;56.66746753;0;0.851733199;0.002117567;-0.000366284;0.381579438;0;0;0.001101278;no;0.022031431;0.002880149
35450;2008;16;90.46183333;0;0.891947149;0.003777267;-0.000299576;0.303190386;0;0;0;no;0.026001344;0.003882569
